timestamp,hr,spO2,activity
1576622374,30,60,7.84313725490196
1576622375,30,60,5.09803921568627
1576622376,30,60,4.70588235294118
1576622377,30,60,3.52941176470588
1576622378,30,60,5.09803921568627
1576622379,30,60,4.31372549019608
1576622380,30,60,7.84313725490196
1576622381,30,60,12.5490196078431
1576622382,30,60,9.80392156862745
1576622383,30,60,17.6470588235294
1576622384,30,60,7.05882352941176
1576622385,30,60,5.09803921568627
1576622386,30,60,4.31372549019608
1576622387,30,60,7.05882352941176
1576622388,30,60,7.84313725490196
1576622389,30,60,5.09803921568627
1576622390,30,60,4.70588235294118
1576622391,30,60,7.45098039215686
1576622392,30,60,6.66666666666667
1576622393,30,60,3.52941176470588
1576622394,30,60,3.52941176470588
1576622395,30,60,15.6862745098039
1576622396,30,60,11.7647058823529
1576622397,30,60,14.1176470588235
1576622398,30,60,16.078431372549
1576622399,30,60,7.05882352941176
1576622400,30,60,3.92156862745098
1576622401,30,60,3.52941176470588
1576622402,30,60,6.27450980392157
1576622403,25,60,5.49019607843137
1576622404,20,60,5.09803921568627
1576622405,15,60,6.27450980392157
1576622406,10,60,1.96078431372549
1576622407,0,60,1.96078431372549
1576622408,0,60,4.31372549019608
1576622409,0,60,3.13725490196078
1576622410,0,60,3.92156862745098
1576622411,0,60,8.62745098039216
1576622412,0,60,3.92156862745098
1576622413,0,60,3.52941176470588
1576622414,0,60,7.45098039215686
1576622415,0,60,12.5490196078431
1576622416,0,60,21.5686274509804
1576622417,0,60,15.2941176470588
1576622418,0,60,12.156862745098
1576622419,0,60,4.31372549019608
1576622420,0,60,4.70588235294118
1576622421,0,60,3.13725490196078
1576622422,0,60,4.31372549019608
1576622423,52,60,7.45098039215686
1576622424,51,60,6.27450980392157
1576622425,52,60,4.31372549019608
1576622426,53,60,3.52941176470588
1576622427,53,60,7.05882352941176
1576622428,53,60,6.27450980392157
1576622429,53,60,5.88235294117647
1576622430,53,60,6.66666666666667
1576622431,53,60,5.49019607843137
1576622432,48,60,5.88235294117647
1576622433,48,60,10.5882352941176
1576622434,49,60,5.49019607843137
1576622435,50,60,6.27450980392157
1576622436,51,60,5.09803921568627
1576622437,51,60,4.70588235294118
1576622438,51,60,4.31372549019608
1576622439,52,60,5.88235294117647
1576622440,53,60,14.1176470588235
1576622441,52,60,7.84313725490196
1576622442,52,60,16.8627450980392
1576622443,52,60,7.05882352941176
1576622444,52,60,5.88235294117647
1576622445,53,60,5.88235294117647
1576622446,53,60,3.92156862745098
1576622447,54,60,4.31372549019608
1576622448,54,60,3.52941176470588
1576622449,49,60,7.84313725490196
1576622450,44,60,10.5882352941176
1576622451,44,60,5.49019607843137
1576622452,43,60,7.05882352941176
1576622453,43,60,5.09803921568627
1576622454,43,60,6.66666666666667
1576622455,43,60,3.52941176470588
1576622456,44,60,3.92156862745098
1576622457,44,60,7.45098039215686
1576622458,51,60,4.70588235294118
1576622459,52,60,4.70588235294118
1576622460,54,60,3.92156862745098
1576622461,53,60,4.31372549019608
1576622462,53,60,3.92156862745098
1576622463,53,60,4.31372549019608
1576622464,52,60,3.52941176470588
1576622465,52,60,2.74509803921569
1576622466,52,60,7.84313725490196
1576622467,52,60,2.35294117647059
1576622468,61,60,3.52941176470588
1576622469,60,60,7.45098039215686
1576622470,60,60,10.1960784313725
1576622471,60,60,4.70588235294118
1576622472,59,60,5.09803921568627
1576622473,60,60,5.09803921568627
1576622474,61,60,6.27450980392157
1576622475,61,60,9.80392156862745
1576622476,59,60,10.1960784313725
1576622477,60,60,8.23529411764706
1576622478,60,60,5.88235294117647
1576622479,61,60,10.1960784313725
1576622480,66,60,9.41176470588235
1576622481,62,60,4.70588235294118
1576622482,62,60,10.1960784313725
1576622483,63,60,7.45098039215686
1576622484,63,60,3.92156862745098
1576622485,63,60,3.92156862745098
1576622486,63,60,2.35294117647059
1576622487,63,60,5.09803921568627
1576622488,62,60,3.13725490196078
1576622489,62,60,2.35294117647059
1576622490,61,60,1.96078431372549
1576622491,61,60,9.41176470588235
1576622492,60,60,7.84313725490196
1576622493,60,60,4.70588235294118
1576622494,65,60,3.13725490196078
1576622495,70,60,2.35294117647059
1576622496,75,60,5.49019607843137
1576622497,84,60,1.17647058823529
1576622498,82,60,1.56862745098039
1576622499,79,60,1.17647058823529
1576622500,80,60,1.17647058823529
1576622501,81,60,1.17647058823529
1576622502,82,60,0.784313725490196
1576622503,82,60,0.784313725490196
1576622504,83,60,0.784313725490196
1576622505,84,60,0.784313725490196
1576622506,84,60,0.784313725490196
1576622507,83,60,0.784313725490196
1576622508,82,60,0.784313725490196
1576622509,79,60,3.13725490196078
1576622510,78,60,2.74509803921569
1576622511,77,60,1.17647058823529
1576622512,77,60,1.17647058823529
1576622513,77,60,1.17647058823529
1576622514,78,60,0.784313725490196
1576622515,78,60,1.56862745098039
1576622516,79,60,3.13725490196078
1576622517,79,60,3.92156862745098
1576622518,80,60,2.74509803921569
1576622519,80,60,2.74509803921569
1576622520,80,60,2.35294117647059
1576622521,82,60,1.17647058823529
1576622522,84,60,1.96078431372549
1576622523,85,60,1.96078431372549
1576622524,84,60,7.45098039215686
1576622525,83,60,1.96078431372549
1576622526,82,60,1.56862745098039
1576622527,79,60,1.17647058823529
1576622528,78,60,1.56862745098039
1576622529,77,60,1.17647058823529
1576622530,77,60,1.17647058823529
1576622531,78,60,1.56862745098039
1576622532,78,60,3.13725490196078
1576622533,78,60,1.96078431372549
1576622534,77,60,1.96078431372549
1576622535,76,60,1.96078431372549
1576622536,75,60,1.96078431372549
1576622537,76,60,1.96078431372549
1576622538,77,60,1.96078431372549
1576622539,78,60,2.35294117647059
1576622540,78,60,2.35294117647059
1576622541,76,60,3.92156862745098
1576622542,73,60,4.70588235294118
1576622543,73,60,2.35294117647059
1576622544,73,60,2.35294117647059
1576622545,76,60,5.09803921568627
1576622546,78,60,1.96078431372549
1576622547,79,60,2.74509803921569
1576622548,78,60,1.56862745098039
1576622549,79,60,2.35294117647059
1576622550,84,60,2.35294117647059
1576622551,92,60,2.35294117647059
1576622552,85,60,2.74509803921569
1576622553,86,60,3.92156862745098
1576622554,89,60,2.35294117647059
1576622555,89,60,2.74509803921569
1576622556,89,60,2.74509803921569
1576622557,89,60,3.13725490196078
1576622558,89,60,1.56862745098039
1576622559,89,60,1.56862745098039
1576622560,89,60,1.56862745098039
1576622561,84,60,1.96078431372549
1576622562,79,60,1.56862745098039
1576622563,72,60,1.56862745098039
1576622564,74,60,1.96078431372549
1576622565,76,60,2.74509803921569
1576622566,76,60,1.96078431372549
1576622567,74,60,1.96078431372549
1576622568,73,60,1.17647058823529
1576622569,72,60,1.56862745098039
1576622570,72,60,1.17647058823529
1576622571,72,60,1.56862745098039
1576622572,72,60,1.56862745098039
1576622573,72,60,1.17647058823529
1576622574,72,60,1.17647058823529
1576622575,72,60,1.17647058823529
1576622576,72,60,1.56862745098039
1576622577,72,60,0.784313725490196
1576622578,72,60,0.784313725490196
1576622579,73,60,0.784313725490196
1576622580,74,60,0.784313725490196
1576622581,73,60,0.784313725490196
1576622582,73,60,0.784313725490196
1576622583,73,60,0.784313725490196
1576622584,72,60,0.784313725490196
1576622585,72,60,0.784313725490196
1576622586,72,60,0.784313725490196
1576622587,72,60,1.17647058823529
1576622588,72,60,0.784313725490196
1576622589,73,60,0.784313725490196
1576622590,73,60,0.784313725490196
1576622591,73,60,0.784313725490196
1576622592,73,60,0.784313725490196
1576622593,73,60,0.784313725490196
1576622594,72,60,0.784313725490196
1576622595,72,60,0.784313725490196
1576622596,72,60,0.784313725490196
1576622597,72,60,1.17647058823529
1576622598,72,60,1.56862745098039
1576622599,72,60,1.96078431372549
1576622600,72,60,1.17647058823529
1576622601,73,60,1.17647058823529
1576622602,74,60,2.35294117647059
1576622603,74,60,1.96078431372549
1576622604,78,60,1.96078431372549
1576622605,79,60,3.52941176470588
1576622606,79,60,2.35294117647059
1576622607,79,60,2.74509803921569
1576622608,78,60,0.784313725490196
1576622609,79,60,1.56862745098039
1576622610,79,60,7.05882352941176
1576622611,79,60,3.92156862745098
1576622612,78,60,3.92156862745098
1576622613,77,60,2.74509803921569
1576622614,77,60,2.74509803921569
1576622615,79,60,6.27450980392157
1576622616,84,60,1.96078431372549
1576622617,85,60,2.35294117647059
1576622618,87,60,3.92156862745098
1576622619,88,60,1.96078431372549
1576622620,90,60,2.74509803921569
1576622621,96,60,1.96078431372549
1576622622,97,60,1.56862745098039
1576622623,97,60,1.17647058823529
1576622624,96,60,0.784313725490196
1576622625,95,60,0.784313725490196
1576622626,90,60,1.17647058823529
1576622627,86,60,1.17647058823529
1576622628,85,60,2.35294117647059
1576622629,84,60,2.74509803921569
1576622630,85,60,2.35294117647059
