timestamp,hr,spO2,activity
1570015997,90,60,0.784313725490196
1570015998,90,60,0.784313725490196
1570015999,90,60,0.784313725490196
1570016000,90,60,11.3725490196078
1570016001,89,60,6.27450980392157
1570016002,89,60,1.17647058823529
1570016003,89,60,3.92156862745098
1570016004,90,60,5.88235294117647
1570016005,90,60,1.56862745098039
1570016006,91,60,1.17647058823529
1570016007,91,60,1.96078431372549
1570016008,92,60,1.96078431372549
1570016009,92,60,10.1960784313725
1570016010,92,60,0.784313725490196
1570016011,91,60,0.784313725490196
1570016012,91,60,0.784313725490196
1570016013,91,60,0.784313725490196
1570016014,92,60,2.35294117647059
1570016015,91,60,3.92156862745098
1570016016,91,60,1.56862745098039
1570016017,90,60,1.96078431372549
1570016018,90,60,2.74509803921569
1570016019,90,60,1.96078431372549
1570016020,91,60,5.88235294117647
1570016021,91,60,7.84313725490196
1570016022,91,60,1.96078431372549
1570016023,91,60,1.96078431372549
1570016024,92,60,9.41176470588235
1570016025,93,60,8.62745098039216
1570016026,93,60,6.66666666666667
1570016027,93,60,4.70588235294118
1570016028,95,60,41.5686274509804
1570016029,95,60,7.84313725490196
1570016092,0,60,0.784313725490196
1570016093,0,60,1.17647058823529
1570016094,0,60,0.784313725490196
1570016095,0,60,5.49019607843137
1570016096,76,60,3.92156862745098
1570016097,0,60,7.45098039215686
1570016098,0,60,5.49019607843137
1570016099,0,60,2.35294117647059
1570016100,0,60,0.784313725490196
1570016101,0,60,0.784313725490196
1570016102,0,60,3.52941176470588
1570016103,0,60,2.35294117647059
1570016104,0,60,1.96078431372549
1570016105,0,60,1.17647058823529
1570016106,0,60,0.784313725490196
1570016107,0,60,0.784313725490196
1570016108,0,60,1.17647058823529
1570016109,0,60,2.35294117647059
1570016110,0,60,2.74509803921569
1570016111,0,60,1.17647058823529
1570016112,0,60,1.17647058823529
1570016113,0,60,6.27450980392157
1570016114,0,60,3.13725490196078
1570016115,0,60,1.96078431372549
1570016116,0,60,0.784313725490196
1570016117,0,60,0.784313725490196
1570016118,0,60,0.784313725490196
1570016119,0,60,1.17647058823529
1570016120,0,60,0.784313725490196
1570016121,0,60,0.784313725490196
1570016122,0,60,1.17647058823529
1570016123,0,60,3.13725490196078
1570016124,0,60,3.92156862745098
1570016125,0,60,1.96078431372549
1570016126,0,60,1.17647058823529
1570016127,0,60,1.17647058823529
1570016128,0,60,1.17647058823529
1570016129,0,60,1.17647058823529
1570016130,0,60,1.17647058823529
1570016131,0,60,3.92156862745098
1570016132,0,60,2.35294117647059
1570016133,0,60,4.31372549019608
1570016134,0,60,1.56862745098039
1570016135,0,60,1.56862745098039
1570016136,0,60,1.56862745098039
1570016137,0,60,3.52941176470588
1570016138,0,60,3.92156862745098
1570016139,0,60,1.56862745098039
1570016140,0,60,0.784313725490196
1570016141,0,60,7.45098039215686
1570016142,0,60,7.84313725490196
1570016143,0,60,3.92156862745098
1570016144,0,60,4.31372549019608
1570016145,0,60,5.09803921568627
1570016146,0,60,3.13725490196078
1570016147,0,60,1.56862745098039
1570016148,0,60,2.74509803921569
1570016149,0,60,6.27450980392157
1570016150,0,60,5.49019607843137
1570016151,0,60,8.23529411764706
1570016152,0,60,5.88235294117647
1570016153,0,60,3.52941176470588
1570016154,0,60,4.31372549019608
1570016155,0,60,2.74509803921569
1570016156,0,60,2.35294117647059
1570016157,0,60,2.74509803921569
