counter,phone_counter,userID,isLock,timestamp
55128,1,peppapig,1,1570003083
55129,2,peppapig,1,1570003087
55130,3,peppapig,0,1570003090
55131,4,peppapig,1,1570003382
55132,5,peppapig,0,1570003674
55133,6,peppapig,1,1570003693
55134,7,peppapig,1,1570003914
55135,8,peppapig,0,1570003915
55136,9,peppapig,1,1570003940
55137,10,peppapig,1,1570004229
55138,11,peppapig,0,1570005040
55139,12,peppapig,1,1570005108
55140,13,peppapig,0,1570005162
55141,14,peppapig,1,1570005172
55157,15,peppapig,0,1570007212
55158,16,peppapig,1,1570007748
55159,17,peppapig,0,1570007795
55160,18,peppapig,1,1570008400
55161,19,peppapig,0,1570009915
55162,20,peppapig,0,1570010156
55163,21,peppapig,1,1570010156
55165,22,peppapig,1,1570010992
55166,23,peppapig,0,1570011041
55167,24,peppapig,1,1570011145
55168,25,peppapig,0,1570011151
55169,26,peppapig,1,1570011174
55170,27,peppapig,1,1570011176
55171,28,peppapig,1,1570011182
55172,29,peppapig,0,1570011214
55173,30,peppapig,1,1570011221
55174,31,peppapig,0,1570011281
55175,32,peppapig,1,1570011286
55176,33,peppapig,1,1570011294
55177,34,peppapig,1,1570011343
55178,35,peppapig,1,1570011357
55179,36,peppapig,1,1570011359
55180,37,peppapig,1,1570011408
55181,38,peppapig,1,1570011410
55182,39,peppapig,0,1570011622
55183,40,peppapig,1,1570011634
55184,41,peppapig,1,1570011889
55185,42,peppapig,1,1570011904
55186,43,peppapig,0,1570012199
55187,44,peppapig,1,1570012282
55188,45,peppapig,0,1570012326
55189,46,peppapig,1,1570012342
55190,47,peppapig,1,1570013460
55191,48,peppapig,1,1570013497
55192,49,peppapig,1,1570013508
55193,50,peppapig,1,1570013519
55194,51,peppapig,1,1570013592
55195,52,peppapig,0,1570013630
55196,53,peppapig,1,1570013639
55209,54,peppapig,1,1570015087
55210,55,peppapig,0,1570015088
55211,56,peppapig,1,1570015164
55212,57,peppapig,0,1570015185
55213,58,peppapig,1,1570015229
55214,59,peppapig,0,1570015238
55215,60,peppapig,1,1570015301
55216,61,peppapig,1,1570015817
55217,62,peppapig,0,1570016292
55218,63,peppapig,1,1570016413
55219,64,peppapig,0,1570016558
55220,65,peppapig,1,1570016706
55221,66,peppapig,0,1570016920
55222,67,peppapig,1,1570016943
55223,68,peppapig,0,1570017206
55224,69,peppapig,1,1570017218
55225,70,peppapig,0,1570017223
55226,71,peppapig,1,1570017225
55227,72,peppapig,0,1570017230
55228,73,peppapig,1,1570017233
55229,74,peppapig,0,1570017237
55230,75,peppapig,1,1570017251
55231,76,peppapig,0,1570017269
55232,77,peppapig,1,1570017274
55233,78,peppapig,0,1570017383
55234,79,peppapig,1,1570017439
55235,80,peppapig,0,1570017480
55236,81,peppapig,1,1570017585
55237,82,peppapig,0,1570017620
55238,83,peppapig,1,1570017664
55239,84,peppapig,1,1570017690
55240,85,peppapig,1,1570018034
55241,86,peppapig,0,1570018052
55242,87,peppapig,1,1570018062
55243,88,peppapig,0,1570018402
55244,89,peppapig,1,1570018419
55253,90,peppapig,1,1570018691
55254,91,peppapig,1,1570018816
55255,92,peppapig,0,1570018998
55256,93,peppapig,1,1570019254
55257,94,peppapig,0,1570019524
55258,95,peppapig,1,1570019547
55259,96,peppapig,0,1570019639
55260,97,peppapig,1,1570019648
55261,98,peppapig,0,1570019649
55262,99,peppapig,1,1570019685
55263,100,peppapig,0,1570019708
55264,101,peppapig,1,1570019723
55265,102,peppapig,0,1570019782
55266,103,peppapig,1,1570020847
55267,104,peppapig,0,1570020987
55268,105,peppapig,1,1570020990
55269,106,peppapig,0,1570021030
55270,107,peppapig,1,1570021034
55271,108,peppapig,0,1570021168
55272,109,peppapig,1,1570021408
55273,110,peppapig,0,1570021417
55274,111,peppapig,1,1570021419
55275,112,peppapig,0,1570021424
55276,113,peppapig,1,1570021453
55277,114,peppapig,0,1570021761
55278,115,peppapig,1,1570021807
55279,116,peppapig,0,1570022186
55280,117,peppapig,1,1570022263
55281,118,peppapig,0,1570022399
55282,119,peppapig,1,1570022420
55283,120,peppapig,0,1570022441
55301,121,peppapig,1,1570022672
55302,122,peppapig,0,1570022691
55303,123,peppapig,1,1570023211
55304,124,peppapig,0,1570023303
55305,125,peppapig,1,1570023534
55306,126,peppapig,0,1570023549
